"Freq [GHz]","dB(S(1,1)) []"
1,-0.00310007702152123
1.08333333333333,-0.00439601665603094
1.16666666666667,-0.00417640103805054
1.25,-0.00511311165601973
1.33333333333333,-0.0063621882670815
1.41666666666667,-0.00800158154191181
1.5,-0.00993341388473476
1.58333333333333,-0.0122926408761521
1.66666666666667,-0.0150601023060482
1.75,-0.0181871395300695
1.83333333333333,-0.0216222781466037
1.91666666666667,-0.0250538723628065
2,-0.0276544826759947
2.08333333333333,-0.0316616199911928
2.16666666666667,-0.0385941841417315
2.25,-0.0148763706383605
2.33333333333333,-0.0427727991565104
2.41666666666667,-0.0430514696969124
2.5,-0.0519479887481132
2.58333333333333,-0.0567752176756912
2.66666666666667,-0.0648662497550607
2.75,-0.0718243512999668
2.83333333333333,-0.0719657925083234
2.91666666666667,-0.081286262759024
3,-0.088660571071167
3.08333333333333,-0.0968971672793305
3.16666666666667,-0.105518524415527
3.25,-0.111055440239623
3.33333333333333,-0.118345957959155
3.41666666666667,-0.131824196165943
3.5,-0.139131582673245
3.58333333333333,-0.144828788365273
3.66666666666667,-0.168294302428724
3.75,-0.150458680497992
3.83333333333333,-0.161482059652617
3.91666666666667,-0.158912716932109
4,-0.164080361948391
4.08333333333333,-0.159428230759758
4.16666666666667,-0.159533997740592
4.25,-0.165406672958221
4.33333333333333,-0.205067052965186
4.41666666666667,-0.0830295908782615
4.5,-0.106890805330668
4.58333333333333,-0.112432289655148
4.66666666666667,-0.115722351760935
4.75,-0.118853425732085
4.83333333333333,-0.123310634418267
4.91666666666667,-0.128523740489233
5,-0.140569920532518
5.08333333333333,-0.150576789704896
5.16666666666667,-0.167969207049145
5.25,-0.174195387583953
5.33333333333333,-0.172700045189135
5.41666666666667,-0.183596762129453
5.5,-0.196949041352295
5.58333333333333,-0.21902676970687
5.66666666666667,-0.227470469885954
5.75,-0.260837312727731
5.83333333333333,-0.321197893989317
5.91666666666667,-0.344104438212332
6,-0.369737042467219
