"Freq [GHz]","dB(S(1,1)) []"
1,-0.0587522274623513
1.01,-0.0535069051767542
1.02,-0.0472958587257835
1.03,-0.0411855203204527
1.04,-0.0357938392033012
1.05,-0.0313465499147633
1.06,-0.0278491903528269
1.07,-0.0252310161079511
1.08,-0.0234391743257647
1.09,-0.0225160872583251
1.1,-0.0227267432394272
1.11,-0.0249147513445037
1.12,-0.0318452309012172
1.13,-0.0554667435123431
1.14,-0.197290546071235
1.15,-15.1598614858057
1.16,-0.23432085078303
1.17,-0.0795903398228832
1.18,-0.0476793123157203
1.19,-0.0357271420758942
1.2,-0.0298367397169065
1.21,-0.0266122440384808
1.22,-0.0246329024756763
1.23,-0.0233756009843326
1.24,-0.0225682866979905
1.25,-0.022062015741562
1.26,-0.0217694146148927
1.27,-0.021636334870733
1.28,-0.0216277612871029
1.29,-0.0217203214877668
1.3,-0.0218980788241776
1.31,-0.0221500613781592
1.32,-0.0224687595441848
1.33,-0.0228491913910184
1.34,-0.0232883180444251
1.35,-0.0237846881107083
1.36,-0.0243382447937059
1.37,-0.0249502636221671
1.38,-0.0256234142855988
1.39,-0.026361965691902
1.4,-0.0271721882158184
1.41,-0.0280630667918692
1.42,-0.0290475564757303
1.43,-0.0301448692676429
1.44,-0.0313848960816755
1.45,-0.0328174997898623
1.46,-0.0345343405041922
1.47,-0.03672851144965
1.48,-0.0398973866529364
1.49,-0.0458261494759547
1.5,-0.0674887729315321
1.51,-0.330044960262076
1.52,-0.0389320423393804
1.53,-0.0388027498029177
1.54,-0.0415819484083913
1.55,-0.0449461097123778
1.56,-0.0504713635471993
1.57,-0.0538385001775807
1.58,-0.0541109495515397
1.59,-0.0588110373096208
1.6,-0.064301784730015
1.61,-0.0708464497081318
1.62,-0.0788272709459228
1.63,-0.0887666705661466
1.64,-0.101393787740363
1.65,-0.117743597569866
1.66,-0.139411561819469
1.67,-0.170708403024717
1.68,-0.263528201933701
1.69,-0.250353812767188
1.7,-0.274544428977189
1.71,-0.296458474603525
1.72,-0.305677846727231
1.73,-0.310180534036658
1.74,-0.33313169612396
1.75,-0.440101260186088
1.76,-1.1295148420172
1.77,-6.29931802454879
1.78,-0.427881672047978
1.79,-0.18176349090324
1.8,-0.129698871427413
1.81,-0.111034918177676
1.82,-0.102556351030582
1.83,-0.0983316232175536
1.84,-0.0962953915318307
1.85,-0.0955704462187804
1.86,-0.0957367150891589
1.87,-0.0966011215758663
1.88,-0.0982011378688569
1.89,-0.102181825769198
1.9,-0.0976563182395736
1.91,-0.101555007615394
1.92,-0.1043608660664
1.93,-0.10720650503031
1.94,-0.110240025928434
1.95,-0.113513226874244
1.96,-0.117061087855654
1.97,-0.120918687505354
1.98,-0.125126997140554
1.99,-0.129736073927571
2,-0.134807808871295
2.01,-0.140419022235967
2.02,-0.146665378873015
2.03,-0.153666579793667
2.04,-0.161573411475017
2.05,-0.170577482029899
2.06,-0.18092488422669
2.07,-0.192935692930356
2.08,-0.207032302533575
2.09,-0.223781454067515
2.1,-0.243957977959006
2.11,-0.268643901972981
2.12,-0.299386828302122
2.13,-0.33846076514186
2.14,-0.389309971435314
2.15,-0.457330760750941
2.16,-0.551296302198524
2.17,-0.68602479793506
2.18,-0.88738408678741
2.19,-1.20086534262902
2.2,-1.69934242593496
2.21,-2.44159715524092
2.22,-3.18395444420962
2.23,-3.10799662839974
2.24,-2.25093331602452
2.25,-1.4771802405724
2.26,-1.03302956144914
2.27,-1.68739227772208
2.28,-0.559100645099016
2.29,-0.394187410383561
2.3,-0.326331912026977
2.31,-0.287420125132356
2.32,-0.26537578755009
2.33,-0.254882885319244
2.34,-0.253119198973287
2.35,-0.258578263093765
2.36,-0.270573795626985
2.37,-0.289006704952046
2.38,-0.314267424931662
2.39,-0.347227979854672
2.4,-0.389320049848832
2.41,-0.442759202080849
2.42,-0.511285745604955
2.43,-0.605597560116164
2.44,-0.685345091182804
2.45,-0.809086914929209
2.46,-0.980644616750139
2.47,-1.19473385064151
2.48,-1.46174881379039
2.49,-1.78537156409644
2.5,-2.15253847224082
2.51,-2.51724931689896
2.52,-2.79269395481799
2.53,-2.88283736461234
2.54,-2.75355217791133
2.55,-2.46355521764947
2.56,-2.11071657121789
2.57,-1.7691572072197
2.58,-1.47345013716636
2.59,-1.23134309187381
2.6,-1.03837829723134
2.61,-0.886489928135077
2.62,-0.767802654265724
2.63,-0.675999590257097
2.64,-0.606824570611884
2.65,-0.558761416886278
2.66,-0.535549422973618
2.67,-0.557830695099651
2.68,-0.741689577869288
2.69,-1.41167845476395
2.7,-0.433066155653894
2.71,-0.292153647546534
2.72,-0.262915609233029
2.73,-0.251012669252727
2.74,-0.244665557616889
2.75,-0.241415828405534
2.76,-0.240586152224544
2.77,-0.241984669431213
2.78,-0.245612449192375
2.79,-0.25159937522306
2.8,-0.26022094628315
2.81,-0.271987979809237
2.82,-0.287898990295647
2.83,-0.310297638932634
2.84,-0.348691455241556
2.85,-0.422158722586189
2.86,-0.547174891644492
2.87,-0.433185082921523
2.88,-0.409519905419298
2.89,-0.437614404613706
2.9,-0.481277846237332
2.91,-0.535737220086801
2.92,-0.601515649108426
2.93,-0.68071019284425
2.94,-0.776416250627139
2.95,-0.892759462663744
2.96,-1.03511614510654
2.97,-1.21043109172382
2.98,-1.42760501721054
2.99,-1.69796861615766
3,-2.03607913606955
3.01,-2.46208183148005
3.02,-3.01058291963243
3.03,-3.75745826141608
3.04,-4.75731161544153
3.05,-4.73808816607724
3.06,-3.41367492481647
3.07,-2.74840500837593
3.08,-2.34145288651225
3.09,-1.98930593813359
3.1,-1.67192475994083
3.11,-1.39694488077402
3.12,-1.16845575580328
3.13,-0.985481812103645
3.14,-0.845011648366014
3.15,-0.744603979956582
3.16,-0.68436412361195
3.17,-0.669209126600869
3.18,-0.71332139274904
3.19,-0.85268284812618
3.2,-1.19470727337599
3.21,-2.22680670264246
3.22,-3.81604476267751
3.23,-2.42645679500697
3.24,-3.56371592739533
3.25,-5.88154066541102
3.26,-8.72678051570382
3.27,-8.92350639047688
3.28,-6.71225892719535
3.29,-4.83939209953338
3.3,-3.61619130454635
3.31,-2.80194737596877
3.32,-2.25042396744014
3.33,-1.86309719042031
3.34,-1.58071611937419
3.35,-1.36839089353139
3.36,-1.20463744000293
3.37,-1.07572951950223
3.38,-0.972630381048662
3.39,-0.889263834940961
3.4,-0.821521117886275
3.41,-0.766704246867981
3.42,-0.723273536988706
3.43,-0.690896476959765
3.44,-0.670995469478001
3.45,-0.668564337346341
3.46,-0.698351378203076
3.47,-0.811563587539427
3.48,-1.27571407612408
3.49,-4.47987250738103
3.5,-1.52323727162807
3.51,-0.622538187520409
3.52,-0.460575016894735
3.53,-0.404393617193624
3.54,-0.375924397975857
3.55,-0.357939121668275
3.56,-0.345522462194308
3.57,-0.335867780036136
3.58,-0.327859214945211
3.59,-0.321090738662468
3.6,-0.315333918468389
3.61,-0.31044353733211
3.62,-0.306323283297058
3.63,-0.302907357298513
3.64,-0.300150050222899
3.65,-0.298019730608038
3.66,-0.296495352555607
3.67,-0.295564493223715
3.68,-0.29522245556134
3.69,-0.295472367428124
3.7,-0.29632673743335
3.71,-0.297812191324677
3.72,-0.299983151106025
3.73,-0.302963851011712
3.74,-0.307038811618861
3.75,-0.311733028481532
3.76,-0.314879011173675
3.77,-0.319518468446138
3.78,-0.325567665188045
3.79,-0.332655604667639
3.8,-0.340748324460932
3.81,-0.349903020914277
3.82,-0.360211297219073
3.83,-0.371787708979412
3.84,-0.384768846987065
3.85,-0.399315747136992
3.86,-0.415617981503486
3.87,-0.433899131632861
3.88,-0.454423771009114
3.89,-0.477506290205414
3.9,-0.503522066120818
3.91,-0.532921667566033
3.92,-0.566249037252591
3.93,-0.604164926830203
3.94,-0.64747732698565
3.95,-0.697181283571687
3.96,-0.754511400203416
3.97,-0.821011604758471
3.98,-0.898628546741067
3.99,-0.989837480195195
4,-1.0978128807774
4.01,-1.22666049795451
4.02,-1.38173290816912
4.03,-1.5700558067015
4.04,-1.80089346422591
4.05,-2.0864681181523
4.06,-2.44279061029325
4.07,-2.89038379289359
4.08,-3.4541990097902
4.09,-4.16078853897491
4.1,-5.02784833670994
4.11,-6.03553446541867
4.12,-7.06607054573471
4.13,-7.84030583793567
4.14,-8.02370316977594
4.15,-7.51120771274591
4.16,-6.78714569092168
4.17,-6.60299039363715
4.18,-6.95743854179634
4.19,-6.94521625506332
4.2,-4.84154272939138
4.21,-3.17227942094313
4.22,-2.28912930737884
4.23,-1.76442402865748
4.24,-1.38696146407513
4.25,-1.05171591884155
4.26,-0.772672767001812
4.27,-0.71400421547256
4.28,-0.753351876629195
4.29,-0.773567762133641
4.3,-0.782880986548794
4.31,-0.797421312138147
4.32,-0.82688079885379
4.33,-0.878710457745617
4.34,-0.961356376782808
4.35,-1.08686263329555
4.36,-1.27420359834575
4.37,-1.55496805103385
4.38,-1.98436873832352
4.39,-2.66438460995035
4.4,-3.79694188403517
4.41,-5.82491634476121
4.42,-9.94674723852058
4.43,-23.2577103552752
4.44,-13.8952333710682
4.45,-7.50838047979025
4.46,-5.51066409122274
4.47,-5.56976476464022
4.48,-5.53734907489045
4.49,-4.50882540812586
4.5,-3.45989319475813
4.51,-2.70705208390644
4.52,-2.19140507564366
4.53,-1.83206368924063
4.54,-1.57483618879208
4.55,-1.3863500519708
4.56,-1.24594919212194
4.57,-1.14055848394437
4.58,-1.06173493515103
4.59,-1.00398797634064
4.6,-0.96381702826449
4.61,-0.93916758867437
4.62,-0.929148179671517
4.63,-0.933923986180635
4.64,-0.954727616864657
4.65,-0.993874235167244
4.66,-1.05438324532318
4.67,-1.13780953829664
4.68,-1.23697009391843
4.69,-1.3310359790711
4.7,-1.4790573682303
4.71,-2.04284396628982
4.72,-3.76119066184426
4.73,-8.1311662952504
