"Freq [GHz]","dB(S(1,1)) []"
1,-0.0154929297648175
1.01,-0.0164625814580068
1.02,-0.0177160205157127
1.03,-0.0193037251686508
1.04,-0.0212959747435525
1.05,-0.0237867135155009
1.06,-0.0268976617022653
1.07,-0.0307803438271581
1.08,-0.0356106691968137
1.09,-0.0415649268474836
1.1,-0.0487577368665856
1.11,-0.0571184352788415
1.12,-0.0662070273270439
1.13,-0.0750650828053397
1.14,-0.0823375613565147
1.15,-0.0868481154021352
1.16,-0.0883276585917292
1.17,-0.087618507020646
1.18,-0.0861938448501505
1.19,-0.0855692942517577
1.2,-0.087100781895838
1.21,-0.0922015968850518
1.22,-0.102896835208892
1.23,-0.122889036677047
1.24,-0.159835419015331
1.25,-0.23000077694379
1.26,-0.358069915073686
1.27,-0.486500323983174
1.28,-0.379767127966546
1.29,-0.201334685692206
1.3,-0.107465640564391
1.31,-0.0645664699915642
1.32,-0.0443329575252336
1.33,-0.0357735950065645
1.34,-0.037915877860067
1.35,-0.0743700790489511
1.36,-0.935810460474141
1.37,-0.404930917849044
1.38,-0.100501333678411
1.39,-0.0623537671910686
1.4,-0.0528059326104729
1.41,-0.0529122964377585
1.42,-0.0601299565148683
1.43,-0.077361913810661
1.44,-0.116051805236824
1.45,-0.218908733061981
1.46,-0.608092491299193
1.47,-1.64964408432992
1.48,-0.509415957503032
1.49,-0.1729708770607
1.5,-0.0856395122966419
1.51,-0.0528813699688028
1.52,-0.0375727221516379
1.53,-0.0293907363997352
1.54,-0.0246289431595107
1.55,-0.0217072932642412
1.56,-0.0198650113465659
1.57,-0.0187013286978087
1.58,-0.0179903838666381
1.59,-0.0175984763518774
1.6,-0.0174440572728284
1.61,-0.0174773188756577
1.62,-0.0176696452516602
1.63,-0.0180087051385645
1.64,-0.0184976502601277
1.65,-0.0191587868186673
1.66,-0.020044690365429
1.67,-0.021265763800028
1.68,-0.0230615134854158
1.69,-0.0260102621040196
1.7,-0.031787407251697
1.71,-0.0469889162798436
1.72,-0.120009691904491
1.73,-5.2563421020776
1.74,-0.190718608008718
1.75,-0.0667306031324296
1.76,-0.0465560261090031
1.77,-0.0409531107824536
1.78,-0.039904447693188
1.79,-0.0412238937274426
1.8,-0.0445575298678344
1.81,-0.0504945120208764
1.82,-0.0608919961146677
1.83,-0.080660957883977
1.84,-0.124676915468504
1.85,-0.252361298155548
1.86,-0.838645202710514
1.87,-3.1420761114123
