"Freq [GHz]","dB(S(1,1)) []"
1,-0.00297778533704568
1.08333333333333,-0.00384881740562831
1.16666666666667,-0.00425038984532337
1.25,-0.0052701853941688
1.33333333333333,-0.00631340873154191
1.41666666666667,-0.0082600997620341
1.5,-0.00992496962772666
1.58333333333333,-0.0122648180799628
1.66666666666667,-0.0149658161244765
1.75,-0.0179735985204905
1.83333333333333,-0.0212361833559486
1.91666666666667,-0.0236130477182331
2,-0.0272455768026937
2.08333333333333,-0.0303816810304372
2.16666666666667,-0.0354795417774861
2.25,-0.0326623430189942
2.33333333333333,-0.0412245480275261
2.41666666666667,-0.0484137572587433
2.5,-0.0481583934870106
2.58333333333333,-0.0582392816882708
2.66666666666667,-0.067050672768483
2.75,-0.0654503846177
2.83333333333333,-0.0752262086752142
2.91666666666667,-0.0818840827782947
3,-0.087572624148045
3.08333333333333,-0.0947089044020018
3.16666666666667,-0.0991580745861332
3.25,-0.113806894338131
3.33333333333333,-0.123323294634372
3.41666666666667,-0.133620789590916
3.5,-0.140627808914502
3.58333333333333,-0.146309002961547
3.66666666666667,-0.150908282915139
3.75,-0.158758722438204
3.83333333333333,-0.154369613697623
3.91666666666667,-0.157655249341445
4,-0.156097256698804
4.08333333333333,-0.158247761629311
4.16666666666667,-0.144942107784874
4.25,-0.142551634979123
4.33333333333333,-0.137029927555718
4.41666666666667,-0.122961213589626
4.5,-0.123800706427437
4.58333333333333,-0.124998667550084
4.66666666666667,-0.129802237883908
4.75,-0.131191067511747
4.83333333333333,-0.127828058720058
4.91666666666667,-0.134479663472687
5,-0.127219069453106
5.08333333333333,-0.148121457124459
5.16666666666667,-0.159604588678411
5.25,-0.170766605535148
5.33333333333333,-0.184146726035038
5.41666666666667,-0.199738819582662
5.5,-0.217417213842308
5.58333333333333,-0.245528482316958
5.66666666666667,-0.260002221699314
5.75,-0.276364945138838
5.83333333333333,-0.29937072070564
5.91666666666667,-0.307024424001358
6,-0.338350020273833
