"Freq [GHz]","dB(S(1,1)) []"
1,-0.00309536001690311
1.08333333333333,-0.00388169402594022
1.16666666666667,-0.00376939388517485
1.25,-0.00499826844438187
1.33333333333333,-0.00616009235973411
1.41666666666667,-0.00788118817347188
1.5,-0.00975972411993446
1.58333333333333,-0.0119516275488872
1.66666666666667,-0.0124016397020597
1.75,-0.0180030546313592
1.83333333333333,-0.0209614875247714
1.91666666666667,-0.025674898830224
2,-0.0274080902387885
2.08333333333333,-0.0290570504179791
2.16666666666667,-0.0325402494875546
2.25,-0.03856126776894
2.33333333333333,-0.0432633835960285
2.41666666666667,-0.0543399887539522
2.5,-0.052760241055308
2.58333333333333,-0.058586451893072
2.66666666666667,-0.0498950512012948
2.75,-0.0697623263083661
2.83333333333333,-0.0932808150936847
2.91666666666667,-0.085524079576628
3,-0.0910670137464478
3.08333333333333,-0.0986046453539412
3.16666666666667,-0.11150130799354
3.25,-0.116584557098734
3.33333333333333,-0.126164659302185
3.41666666666667,-0.135489263626467
3.5,-0.144987705491767
3.58333333333333,-0.154051957695199
3.66666666666667,-0.181296079297069
3.75,-0.124930582604682
3.83333333333333,-0.141108875345627
3.91666666666667,-0.146183508243856
4,-0.148803672771582
4.08333333333333,-0.146915804323287
4.16666666666667,-0.133772782516087
4.25,-0.139581992168826
4.33333333333333,-0.136846531355765
4.41666666666667,-0.133529531194502
4.5,-0.134707868787399
4.58333333333333,-0.130152498767731
4.66666666666667,-0.130353768367825
4.75,-0.132439344409018
4.83333333333333,-0.132184301118074
4.91666666666667,-0.146522562727944
5,-0.163132828736968
5.08333333333333,-0.170347679460884
5.16666666666667,-0.184696427695738
5.25,-0.190855870038692
5.33333333333333,-0.187326966983553
5.41666666666667,-0.157890880549796
5.5,-0.185830020473272
5.58333333333333,-0.2139899320533
5.66666666666667,-0.24873264878298
5.75,-0.309772487342506
5.83333333333333,-0.382005119259349
5.91666666666667,-0.355202495414428
6,-0.222053654085137
