"Freq [GHz]","dB(S(1,1)) []"
1,-0.00338285113025978
1.08333333333333,-0.0106282341915329
1.16666666666667,-0.0674776852383282
1.25,-0.232121083157914
1.33333333333333,-0.0390527255484163
1.41666666666667,-0.0920392769036089
1.5,-4.40493764032498
1.58333333333333,-0.0223615799114957
1.66666666666667,-0.0588799711565825
1.75,-0.106174343450623
1.83333333333333,-0.0924472619102933
1.91666666666667,-0.945199086146616
2,-0.381107777499647
2.08333333333333,-0.079068253042732
2.16666666666667,-0.150835295162178
2.25,-3.67566450225195
2.33333333333333,-0.527863502347138
2.41666666666667,-0.192163717070528
2.5,-0.125680028837051
2.58333333333333,-0.238600088908328
2.66666666666667,-0.15294242413785
2.75,-0.074382771584297
2.83333333333333,-0.0731784734965408
2.91666666666667,-0.204513700178471
3,-0.227878289830367
3.08333333333333,-0.723694588851849
3.16666666666667,-2.84784202090251
3.25,-1.50463465215535
3.33333333333333,-2.67571663873757
3.41666666666667,-0.493295464667135
3.5,-0.301058205236362
3.58333333333333,-0.442860487738043
3.66666666666667,-1.26840193373942
3.75,-0.320423614033244
3.83333333333333,-0.321889806450589
3.91666666666667,-12.5497686378831
4,-1.31820503608311
4.08333333333333,-2.04641019940812
4.16666666666667,-0.638188770208388
4.25,-0.682839516181233
4.33333333333333,-0.931654408020425
4.41666666666667,-1.89740136455982
4.5,-7.75108826406226
4.58333333333333,-4.09737372217993
4.66666666666667,-1.17039905638337
4.75,-0.651090648757878
4.83333333333333,-0.718602449268375
4.91666666666667,-1.2326613727984
5,-1.00141118408606
5.08333333333333,-2.7251896909765
5.16666666666667,-10.0254386059986
5.25,-3.78291429076732
5.33333333333333,-3.09104861394636
5.41666666666667,-3.58961037689562
5.5,-3.56009639055746
5.58333333333333,-5.16610622485198
5.66666666666667,-3.38927606252153
5.75,-1.2430134951445
5.83333333333333,-1.21144176858835
5.91666666666667,-1.49960570325178
6,-2.0601295531063
