row_index,antenna_id,resonant_freq_ghz,depth_db,prominence_db,confidence,method,is_valid_local_min
0,1,3.333333254,-6.708929,6.800294,0.579088,local_min,1
1,2,1.250000000,-10.883246,5.902006,0.696803,local_min,1
2,3,5.166666508,-10.291656,4.873034,0.650642,local_min,1
3,4,5.416666508,-13.537115,9.476371,0.822482,local_min,1
4,5,5.750000000,-10.748034,7.531173,0.741604,local_min,1
5,6,4.333333492,-16.468376,17.313160,0.878965,local_min,1
6,7,4.916666508,-18.539320,11.112148,0.890470,local_min,1
7,8,4.000000000,-7.943173,6.148152,0.636092,local_min,1
8,9,4.333333492,-4.915509,6.040974,0.447932,local_min,1
9,10,5.750000000,-8.625248,2.792834,0.534976,local_min,1
10,11,4.333333492,-19.028831,10.412194,0.880684,local_min,1
11,12,5.500000000,-0.583591,0.054561,0.028687,local_min,1
12,13,5.000000000,-0.172485,0.019119,0.008799,local_min,1
13,14,4.000000000,-0.156904,0.029172,0.008442,local_min,1
14,15,4.166666508,-7.723730,8.400571,0.600366,local_min,1
15,16,5.333333492,-3.655991,2.598113,0.311832,local_min,1
16,17,4.916666508,-12.069983,7.579668,0.763814,local_min,1
17,18,4.916666508,-1.262774,2.802587,0.179440,local_min,1
18,19,4.500000000,-4.274067,3.759192,0.378937,local_min,1
19,20,4.166666508,-3.984642,2.764894,0.312530,local_min,1
20,21,4.333333492,-4.151329,6.107155,0.421854,local_min,1
21,22,4.916666508,-10.191210,6.828696,0.701619,local_min,1
22,23,5.500000000,-14.543002,11.375250,0.866841,local_min,1
23,24,5.583333492,-2.780560,0.729733,0.165481,local_min,1
24,25,5.083333492,-5.821929,3.175309,0.468638,local_min,1
25,26,5.833333492,-6.906193,4.982633,0.566985,local_min,1
26,27,5.000000000,-7.888096,3.867356,0.560859,local_min,1
27,28,3.750000000,-0.160203,0.030777,0.008932,local_min,1
28,29,3.833333254,-11.290873,6.116094,0.710123,local_min,1
29,30,3.833333254,-8.665479,4.933311,0.619634,local_min,1
30,31,4.000000000,-20.623411,9.778743,0.874145,local_min,1
31,32,3.750000000,-2.687633,2.307305,0.234549,local_min,1
32,33,3.500000000,-0.179384,0.029142,0.011158,local_min,1
33,34,4.916666508,-5.780429,3.389749,0.470036,local_min,1
34,35,4.583333492,-4.151005,3.730095,0.373157,local_min,1
35,36,5.333333492,-5.292312,2.240758,0.362844,local_min,1
36,37,5.166666508,-12.490743,9.469993,0.812932,local_min,1
37,38,4.750000000,-6.379973,4.695137,0.533893,local_min,1
38,39,4.583333492,-5.970201,3.679357,0.490149,local_min,1
39,40,3.916666746,-10.161025,6.288356,0.696093,local_min,1
40,41,5.000000000,-25.291409,14.100928,0.943697,local_min,1
41,42,3.250000000,-0.917539,0.499954,0.089492,local_min,1
42,43,3.833333254,-0.152467,0.036114,0.008595,local_min,1
43,44,3.916666746,-0.155341,0.032060,0.008484,local_min,1
44,45,3.666666746,-12.743481,7.701290,0.775825,local_min,1
45,46,5.250000000,-12.594396,8.359808,0.789896,local_min,1
46,47,5.166666508,-0.159177,0.002812,0.007289,local_min,1
47,48,5.083333492,-5.377509,4.932349,0.466256,local_min,1
48,49,5.250000000,-13.745921,9.454219,0.827728,local_min,1
49,50,3.750000000,-0.155037,0.006612,0.009389,local_min,1
50,51,4.166666508,-15.970273,8.631032,0.828580,local_min,1
51,52,5.583333492,-8.703554,7.610643,0.686105,local_min,1
52,53,5.416666508,-11.651155,5.411982,0.692306,local_min,1
53,54,3.833333254,-0.159245,0.036064,0.008802,local_min,1
54,55,3.916666746,-0.152881,0.025908,0.008065,local_min,1
55,56,5.583333492,-10.555093,7.127480,0.725894,local_min,1
56,57,3.916666746,-0.160841,0.041569,0.009238,local_min,1
57,58,4.666666508,-14.361223,8.080539,0.802636,local_min,1
58,59,3.666666746,-1.598000,1.195394,0.129582,local_min,1
59,60,4.000000000,-7.992908,9.311491,0.627646,local_min,1
60,61,5.333333492,-0.170127,0.001496,0.007762,local_min,1
61,62,5.583333492,-16.073816,8.218647,0.819483,local_min,1
62,63,3.500000000,-7.199246,5.056650,0.580556,local_min,1
63,64,3.500000000,-11.561193,6.716502,0.732573,local_min,1
64,65,3.416666746,-8.440148,4.709973,0.606074,local_min,1
65,66,5.083333492,-6.537479,5.471959,0.550083,local_min,1
66,67,5.166666508,-6.911485,3.735379,0.527848,local_min,1
67,68,3.833333254,-11.364706,6.409588,0.720411,local_min,1
68,69,3.000000000,-12.743927,6.388624,0.738581,local_min,1
69,70,5.333333492,-28.878696,15.798702,0.960579,local_min,1
70,71,3.666666746,-3.662778,2.029852,0.332547,local_min,1
