antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
11947	5.166666508	-8.816215	7.399439	0.198170	global_min_fallback
23506	3.583333254	-11.820723	3.911713	0.243919	global_min_fallback
2121	4.000000000	-0.648469	0.852476	0.026788	global_min_fallback
23679	6.000000000	-0.308958	0.000000	0.000000	global_min_fallback
14453	3.000000000	-3.268019	5.260025	0.151931	global_min_fallback
27425	3.500000000	-2.791524	4.237602	0.126029	global_min_fallback
73	6.000000000	-0.389407	0.000000	0.000000	global_min_fallback
14138	3.000000000	-0.379360	1.965832	0.061138	global_min_fallback
4285	6.000000000	-0.333497	0.000000	0.000000	global_min_fallback
16624	6.000000000	-0.352418	0.000000	0.000000	global_min_fallback
11206	6.000000000	-0.272023	0.000000	0.000000	global_min_fallback
814	6.000000000	-0.320418	0.000000	0.000000	global_min_fallback
29691	3.083333254	-0.683642	4.539625	0.133922	global_min_fallback
24585	6.000000000	-1.931917	0.000000	0.000000	global_min_fallback
12342	6.000000000	-0.311129	0.000000	0.000000	global_min_fallback
15182	5.666666508	-11.094373	4.198575	0.215648	global_min_fallback
6511	5.583333492	-2.391285	0.961773	0.030203	global_min_fallback
14599	5.666666508	-10.266936	4.096622	0.192425	global_min_fallback
22448	6.000000000	-3.082745	0.000000	0.000000	global_min_fallback
9913	3.083333254	-3.206819	1.102528	0.092443	global_min_fallback
12800	3.666666746	-1.685582	1.061797	0.036687	global_min_fallback
18579	4.750000000	-1.797800	2.293875	0.071016	global_min_fallback
16620	6.000000000	-0.346116	0.000000	0.000000	global_min_fallback
21833	6.000000000	-0.411317	0.000000	0.000000	global_min_fallback
8647	6.000000000	-0.457035	0.000000	0.000000	global_min_fallback
1057	6.000000000	-0.341755	0.000000	0.000000	global_min_fallback
14409	6.000000000	-0.326771	0.000000	0.000000	global_min_fallback
5772	6.000000000	-0.388024	0.000000	0.000000	global_min_fallback
3141	2.750000000	-1.826934	0.853961	0.050382	global_min_fallback
17234	5.166666508	-2.135025	2.435013	0.075222	global_min_fallback
19080	4.583333492	-2.496377	4.737867	0.138995	global_min_fallback
26824	6.000000000	-0.358141	0.000000	0.000000	global_min_fallback
16276	6.000000000	-14.555729	0.000000	0.134338	global_min_fallback
6982	6.000000000	-0.296469	0.000000	0.000000	global_min_fallback
17909	5.333333492	-5.586479	4.070055	0.121567	global_min_fallback
9244	6.000000000	-5.796953	0.000000	0.000000	global_min_fallback
26493	4.666666508	-10.215907	5.268875	0.225354	global_min_fallback
29545	6.000000000	-8.480979	0.000000	0.000000	global_min_fallback
7940	2.166666746	-0.342507	2.029172	0.063056	global_min_fallback
7942	6.000000000	-0.356900	0.000000	0.000000	global_min_fallback
7820	3.250000000	-0.141248	5.101682	0.148074	global_min_fallback
16835	5.000000000	-6.566332	8.245272	0.213421	global_min_fallback
64	3.583333254	-0.552330	2.586759	0.079713	global_min_fallback
24400	5.416666508	-11.659378	4.442047	0.251119	global_min_fallback
