row_index,antenna_id,resonant_freq_ghz,depth_db,prominence_db,confidence,method,is_valid_local_min
0,1,5.333333492,-8.326290,6.053397,0.302670,local_min,1
1,2,1.250000000,-10.883246,10.844029,0.542201,local_min,1
2,3,5.166666508,-10.291656,8.373319,0.418666,local_min,1
3,4,3.166666746,-19.532295,19.111202,0.955560,local_min,1
4,5,2.500000000,-14.669595,14.516795,0.725840,local_min,1
5,6,4.250000000,-25.395651,24.477092,1.000000,local_min,1
6,7,4.916666508,-18.539320,17.882078,0.894104,local_min,1
7,8,4.000000000,-7.943173,7.434971,0.371749,local_min,1
8,9,4.416666508,-6.802899,6.503311,0.325166,local_min,1
9,10,5.750000000,-8.625248,7.538019,0.376901,local_min,1
10,11,4.333333492,-19.028831,18.735833,0.936792,local_min,1
11,12,5.416666508,-0.615437,0.098956,0.004948,local_min,1
12,13,5.916666508,-0.372102,0.055700,0.002785,local_min,1
13,14,5.750000000,-0.279994,0.003625,0.000181,local_min,1
14,15,2.416666746,-14.370704,14.255616,0.712781,local_min,1
15,16,2.500000000,-5.103464,4.991671,0.249584,local_min,1
16,17,4.583333492,-13.560081,12.852563,0.642628,local_min,1
17,18,5.000000000,-4.283700,3.669467,0.183473,local_min,1
18,19,2.750000000,-8.161809,8.016411,0.400821,local_min,1
19,20,4.166666508,-3.984642,2.886314,0.144316,local_min,1
20,21,3.500000000,-7.946157,7.520935,0.376047,local_min,1
21,22,4.916666508,-10.191210,8.159500,0.407975,local_min,1
22,23,5.500000000,-14.543002,13.063502,0.653175,local_min,1
23,24,5.583333492,-2.780560,0.847953,0.042398,local_min,1
24,25,4.333333492,-6.063808,5.792822,0.289641,local_min,1
25,26,5.833333492,-6.906193,5.776963,0.288848,local_min,1
26,27,5.000000000,-7.888096,6.844280,0.342214,local_min,1
27,28,3.750000000,-0.160203,0.038917,0.001946,local_min,1
28,29,3.833333254,-11.290873,10.993339,0.549667,local_min,1
29,30,3.833333254,-8.665479,8.165264,0.408263,local_min,1
30,31,4.000000000,-20.623411,19.848801,0.992440,local_min,1
31,32,3.750000000,-2.687633,2.386265,0.119313,local_min,1
32,33,5.750000000,-0.276548,0.002300,0.000115,local_min,1
33,34,4.916666508,-5.780429,4.986554,0.249328,local_min,1
34,35,3.833333254,-7.017555,6.607241,0.330362,local_min,1
35,36,4.333333492,-6.890834,5.409898,0.270495,local_min,1
36,37,5.166666508,-12.490743,12.228153,0.611408,local_min,1
37,38,4.750000000,-6.379973,5.944053,0.297203,local_min,1
38,39,4.583333492,-5.970201,5.399344,0.269967,local_min,1
39,40,3.916666746,-10.161025,9.905251,0.495263,local_min,1
40,41,5.000000000,-25.291409,24.687174,1.000000,local_min,1
41,42,3.250000000,-0.917539,0.811599,0.040580,local_min,1
42,43,5.666666508,-0.232307,0.003492,0.000175,local_min,1
43,44,5.833333492,-0.326929,0.046635,0.002332,local_min,1
44,45,3.666666746,-12.743481,12.409171,0.620459,local_min,1
45,46,5.250000000,-12.594396,11.613293,0.580665,local_min,1
46,47,5.500000000,-0.189591,0.002797,0.000140,local_min,1
47,48,3.750000000,-6.931297,6.778597,0.338930,local_min,1
48,49,5.250000000,-13.745921,13.142420,0.657121,local_min,1
49,50,5.416666508,-0.556849,0.004214,0.000211,local_min,1
50,51,4.166666508,-15.970273,15.490355,0.774518,local_min,1
51,52,3.916666746,-9.868661,9.562963,0.478148,local_min,1
52,53,5.416666508,-11.651155,9.825462,0.491273,local_min,1
53,54,5.416666508,-0.223105,0.020576,0.001029,local_min,1
54,55,5.750000000,-0.258689,0.016095,0.000805,local_min,1
55,56,5.583333492,-10.555093,9.288424,0.464421,local_min,1
56,57,5.833333492,-0.305638,0.013745,0.000687,local_min,1
57,58,4.666666508,-14.361223,13.854849,0.692742,local_min,1
58,59,3.666666746,-1.598000,1.209685,0.060484,local_min,1
59,60,5.916666508,-13.072328,10.556918,0.527846,local_min,1
60,61,5.416666508,-0.176393,0.007270,0.000363,local_min,1
61,62,5.583333492,-16.073816,14.561221,0.728061,local_min,1
62,63,3.500000000,-7.199246,6.854864,0.342743,local_min,1
63,64,3.500000000,-11.561193,11.049734,0.552487,local_min,1
64,65,3.416666746,-8.440148,7.853232,0.392662,local_min,1
65,66,4.000000000,-9.166937,8.932106,0.446605,local_min,1
66,67,3.833333254,-7.198970,6.949943,0.347497,local_min,1
67,68,3.833333254,-11.364706,11.259896,0.562995,local_min,1
68,69,3.000000000,-12.743927,12.192120,0.609606,local_min,1
69,70,5.333333492,-28.878696,28.122237,1.000000,local_min,1
70,71,3.666666746,-3.662778,3.446303,0.172315,local_min,1
71,72,5.583333492,-0.226881,0.000926,0.000046,local_min,1
72,73,5.833333492,-0.308467,0.010582,0.000529,local_min,1
73,74,5.083333492,-0.163138,0.021453,0.001073,local_min,1
74,75,4.083333492,-2.407325,2.057211,0.102861,local_min,1
75,76,5.500000000,-0.264437,0.047140,0.002357,local_min,1
76,77,5.500000000,-0.237371,0.048999,0.002450,local_min,1
77,78,5.500000000,-18.742781,17.809275,0.890464,local_min,1
78,79,5.333333492,-0.202346,0.036593,0.001830,local_min,1
79,80,4.000000000,-11.255791,10.693564,0.534678,local_min,1
80,81,4.333333492,-8.756212,8.312573,0.415629,local_min,1
81,82,5.333333492,-9.904268,9.273693,0.463685,local_min,1
82,83,4.916666508,-18.335522,18.159961,0.907998,local_min,1
83,84,5.916666508,-0.414008,0.035526,0.001776,local_min,1
84,85,4.416666508,-28.640127,27.924841,1.000000,local_min,1
85,86,4.583333492,-30.782070,30.292449,1.000000,local_min,1
86,87,5.750000000,-0.236972,0.006593,0.000330,local_min,1
87,88,4.000000000,-8.009253,7.488577,0.374429,local_min,1
88,89,4.083333492,-9.463463,9.100520,0.455026,local_min,1
89,90,3.916666746,-0.160136,0.033552,0.001678,local_min,1
