row_index,antenna_id,resonant_freq_ghz,depth_db,prominence_db,confidence,method,is_valid_local_min
0,7,4.929999828,-15.487185,14.391948,0.626893,local_min,1
1,9,4.380000114,-10.974353,10.991953,0.403802,local_min,1
2,10,6.000000000,-8.767123,0.000000,0.000000,global_min_fallback,0
3,11,5.429999828,-10.632128,9.169449,0.366958,local_min,1
4,16,3.299999952,-8.100616,5.934615,0.172905,global_min_fallback,0
5,17,5.230000019,-23.822176,14.283280,0.897279,local_min,1
6,21,2.700000048,-15.945113,8.752317,0.459063,global_min_fallback,0
7,28,3.609999895,-22.959360,10.385088,0.837081,local_min,1
8,31,5.940000057,-23.079784,9.939405,0.822907,local_min,1
9,32,5.280000210,-9.088430,6.496767,0.207689,global_min_fallback,0
10,36,4.349999905,-7.204617,5.454286,0.177775,global_min_fallback,0
11,41,4.219999790,-13.273925,10.351677,0.560918,local_min,1
12,48,3.349999905,-14.054253,8.439245,0.404873,global_min_fallback,0
13,60,3.480000019,-13.822211,10.003641,0.575767,local_min,1
14,68,3.819999933,-16.363571,10.008966,0.692056,local_min,1
15,70,5.329999924,-29.332926,14.699126,0.936350,local_min,1
16,78,5.510000229,-17.689251,14.302606,0.739489,local_min,1
17,81,4.340000153,-17.123083,8.453491,0.479473,global_min_fallback,0
18,100,3.700000048,-8.978816,6.489014,0.215937,global_min_fallback,0
19,103,4.329999924,-9.280143,7.629655,0.222640,global_min_fallback,0
20,112,4.099999905,-15.186069,12.775084,0.633075,local_min,1
21,124,3.990000010,-19.242926,10.159655,0.773081,local_min,1
22,131,3.609999895,-13.886878,8.872983,0.403256,global_min_fallback,0
23,132,4.929999828,-3.999553,3.426494,0.104819,global_min_fallback,0
24,133,5.719999790,-20.869513,13.722705,0.851528,local_min,1
25,139,5.880000114,-10.941125,5.925126,0.293842,local_min,1
26,150,5.829999924,-23.186632,13.004542,0.877427,local_min,1
27,155,5.730000019,-17.934324,12.669142,0.754136,local_min,1
28,160,5.960000038,-25.374014,7.574496,0.797354,local_min,1
29,162,5.019999981,-7.274609,5.967796,0.174451,global_min_fallback,0
30,165,4.340000153,-11.093326,12.155103,0.426251,local_min,1
31,177,4.650000095,-16.988934,12.154697,0.736272,local_min,1
32,178,5.380000114,-19.905075,14.749674,0.773322,local_min,1
33,180,3.789999962,-8.152402,10.775703,0.356533,local_min,1
34,181,4.570000172,-18.228716,11.546682,0.769516,local_min,1
35,184,2.839999914,-20.032564,9.230096,0.539417,global_min_fallback,0
36,197,5.289999962,-15.163360,13.161157,0.626697,local_min,1
37,198,3.140000105,-4.879506,9.211995,0.228836,global_min_fallback,0
38,205,5.039999962,-17.191387,12.175110,0.720455,local_min,1
39,206,5.059999943,-13.874125,13.061099,0.554587,local_min,1
40,207,6.000000000,-10.093092,0.000000,0.002932,global_min_fallback,0
41,210,5.639999866,-40.499763,16.002962,0.962757,local_min,1
42,211,4.190000057,-26.297363,11.918604,0.890729,local_min,1
43,213,4.590000153,-7.994666,6.940561,0.199657,global_min_fallback,0
44,214,3.710000038,-9.271678,10.966421,0.359680,local_min,1
45,215,4.829999924,-17.289949,10.356795,0.726925,local_min,1
46,216,4.210000038,-14.407059,10.255205,0.618575,local_min,1
47,221,4.840000153,-14.553873,14.293379,0.593032,local_min,1
48,224,5.530000210,-38.450928,19.615166,0.979512,local_min,1
49,242,4.489999771,-10.285979,10.772208,0.369340,local_min,1
50,243,4.349999905,-19.594200,11.631067,0.803889,local_min,1
51,253,5.150000095,-30.380510,14.253751,0.935800,local_min,1
52,255,5.469999790,-15.945334,11.279175,0.685864,local_min,1
53,260,4.539999962,-14.805788,11.406805,0.627583,local_min,1
54,266,5.170000076,-9.857272,5.752735,0.215383,global_min_fallback,0
55,279,4.619999886,-24.160721,15.719069,0.912121,local_min,1
56,284,4.639999866,-30.238386,11.973746,0.909337,local_min,1
57,288,4.329999924,-18.829693,11.866750,0.788760,local_min,1
58,289,5.500000000,-24.004223,16.683849,0.915366,local_min,1
59,290,4.920000076,-15.926781,11.554895,0.684420,local_min,1
60,298,3.980000019,-19.758202,13.283663,0.825260,local_min,1
61,299,5.250000000,-30.579189,15.410780,0.946088,local_min,1
62,303,5.329999924,-19.833355,15.574925,0.817606,local_min,1
63,309,3.029999971,-23.181610,10.252347,0.837239,local_min,1
64,320,4.550000191,-12.234006,13.122359,0.488069,local_min,1
65,321,2.220000029,-1.433243,6.862712,0.187608,global_min_fallback,0
66,327,4.960000038,-16.294397,11.278615,0.669400,local_min,1
67,329,3.309999943,-6.899276,3.621244,0.165372,global_min_fallback,0
68,333,5.539999962,-18.797960,13.102413,0.795464,local_min,1
69,338,4.260000229,-20.358358,9.525343,0.547879,global_min_fallback,0
70,341,4.349999905,-14.765155,11.115029,0.581311,local_min,1
71,348,5.039999962,-16.485331,12.319124,0.692213,local_min,1
72,353,5.519999981,-11.235370,8.617663,0.369036,local_min,1
