antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
2	1.250000000	-10.883246	10.844029	0.542201	local_min
3	5.166666508	-10.291656	8.373319	0.418666	local_min
4	3.166666746	-19.532295	19.111202	0.955560	local_min
5	2.500000000	-14.669595	14.516795	0.725840	local_min
6	4.250000000	-25.395651	24.477092	1.000000	local_min
7	4.916666508	-18.539320	17.882078	0.894104	local_min
8	4.000000000	-7.943173	7.434971	0.371749	local_min
9	4.416666508	-6.802899	6.503311	0.325166	local_min
13	5.916666508	-0.372102	0.055700	0.002785	local_min
15	2.416666746	-14.370704	14.255616	0.712781	local_min
16	2.500000000	-5.103464	4.991671	0.249584	local_min
17	4.583333492	-13.560081	12.852563	0.642628	local_min
18	5.000000000	-4.283700	3.669467	0.183473	local_min
21	3.500000000	-7.946157	7.520935	0.376047	local_min
22	4.916666508	-10.191210	8.159500	0.407975	local_min
23	5.500000000	-14.543002	13.063502	0.653175	local_min
25	4.333333492	-6.063808	5.792822	0.289641	local_min
26	5.833333492	-6.906193	5.776963	0.288848	local_min
31	4.000000000	-20.623411	19.848801	0.992440	local_min
32	3.750000000	-2.687633	2.386265	0.119313	local_min
37	5.166666508	-12.490743	12.228153	0.611408	local_min
38	4.750000000	-6.379973	5.944053	0.297203	local_min
40	3.916666746	-10.161025	9.905251	0.495263	local_min
41	5.000000000	-25.291409	24.687174	1.000000	local_min
42	3.250000000	-0.917539	0.811599	0.040580	local_min
43	5.666666508	-0.232307	0.003492	0.000175	local_min
44	5.833333492	-0.326929	0.046635	0.002332	local_min
45	3.666666746	-12.743481	12.409171	0.620459	local_min
46	5.250000000	-12.594396	11.613293	0.580665	local_min
48	3.750000000	-6.931297	6.778597	0.338930	local_min
49	5.250000000	-13.745921	13.142420	0.657121	local_min
50	5.416666508	-0.556849	0.004214	0.000211	local_min
52	3.916666746	-9.868661	9.562963	0.478148	local_min
55	5.750000000	-0.258689	0.016095	0.000805	local_min
57	5.833333492	-0.305638	0.013745	0.000687	local_min
58	4.666666508	-14.361223	13.854849	0.692742	local_min
59	3.666666746	-1.598000	1.209685	0.060484	local_min
60	5.916666508	-13.072328	10.556918	0.527846	local_min
62	5.583333492	-16.073816	14.561221	0.728061	local_min
64	3.500000000	-11.561193	11.049734	0.552487	local_min
65	3.416666746	-8.440148	7.853232	0.392662	local_min
67	3.833333254	-7.198970	6.949943	0.347497	local_min
68	3.833333254	-11.364706	11.259896	0.562995	local_min
69	3.000000000	-12.743927	12.192120	0.609606	local_min
70	5.333333492	-28.878696	28.122237	1.000000	local_min
71	3.666666746	-3.662778	3.446303	0.172315	local_min
72	5.583333492	-0.226881	0.000926	0.000046	local_min
73	5.833333492	-0.308467	0.010582	0.000529	local_min
74	5.083333492	-0.163138	0.021453	0.001073	local_min
75	4.083333492	-2.407325	2.057211	0.102861	local_min
77	5.500000000	-0.237371	0.048999	0.002450	local_min
78	5.500000000	-18.742781	17.809275	0.890464	local_min
81	4.333333492	-8.756212	8.312573	0.415629	local_min
87	5.750000000	-0.236972	0.006593	0.000330	local_min
89	4.083333492	-9.463463	9.100520	0.455026	local_min
91	5.916666508	-0.385393	0.001460	0.000073	local_min
92	5.333333492	-14.541031	13.054433	0.652722	local_min
93	5.500000000	-0.226858	0.002978	0.000149	local_min
94	3.166666746	-9.888404	9.722894	0.486145	local_min
96	3.750000000	-5.652305	5.251764	0.262588	local_min
99	5.000000000	-8.088723	7.355209	0.367760	local_min
100	3.666666746	-18.017124	17.413609	0.870680	local_min
101	3.916666746	-0.156164	0.029569	0.001478	local_min
102	4.666666508	-16.604305	16.147195	0.807360	local_min
103	4.333333492	-9.239063	8.786347	0.439317	local_min
104	5.166666508	-8.499765	6.974311	0.348716	local_min
105	5.833333492	-0.251118	0.001597	0.000080	local_min
106	4.083333492	-3.710651	3.208507	0.160425	local_min
108	3.750000000	-8.938856	8.203553	0.410178	local_min
109	4.583333492	-12.113955	10.727447	0.536372	local_min
110	3.916666746	-16.512003	15.526881	0.776344	local_min
114	3.583333254	-8.613014	7.835859	0.391793	local_min
115	4.416666508	-14.736717	14.383358	0.719168	local_min
116	5.000000000	-2.769501	1.981023	0.099051	local_min
117	3.583333254	-1.590656	1.519104	0.075955	local_min
118	1.916666627	-6.820380	6.717424	0.335871	local_min
121	5.333333492	-0.220861	0.083718	0.004186	local_min
122	3.916666746	-0.159757	0.037040	0.001852	local_min
123	5.750000000	-0.270214	0.002285	0.000114	local_min
124	4.000000000	-8.488288	8.331994	0.416600	local_min
125	3.833333254	-0.171086	0.049381	0.002469	local_min
126	5.416666508	-21.289608	20.038235	1.000000	local_min
128	4.916666508	-0.461635	0.005247	0.000262	local_min
131	5.416666508	-7.046492	6.415407	0.320770	local_min
132	4.916666508	-3.959528	3.459342	0.172967	local_min
133	2.583333254	-11.645260	11.562436	0.578122	local_min
134	5.166666508	-0.170326	0.001087	0.000054	local_min
136	5.750000000	-7.003574	5.611904	0.280595	local_min
137	4.250000000	-6.478857	6.189406	0.309470	local_min
138	5.333333492	-17.823063	16.943773	0.847189	local_min
139	5.416666508	-0.229215	0.010702	0.000535	local_min
140	3.833333254	-0.156403	0.038667	0.001933	local_min
142	3.916666746	-9.047069	8.510702	0.425535	local_min
143	5.250000000	-5.377216	3.025200	0.151260	local_min
144	4.083333492	-13.609985	13.258358	0.662918	local_min
146	4.083333492	-1.721587	1.502346	0.075117	local_min
147	5.000000000	-0.164632	0.033919	0.001696	local_min
149	4.083333492	-11.200274	11.047531	0.552377	local_min
150	5.833333492	-31.172689	29.732853	1.000000	local_min
151	4.083333492	-0.160004	0.051858	0.002593	local_min
154	3.500000000	-6.943963	6.715945	0.335797	local_min
155	4.750000000	-23.388832	22.296297	1.000000	local_min
156	5.833333492	-0.356354	0.067941	0.003397	local_min
157	5.750000000	-0.280896	0.014340	0.000717	local_min
159	5.583333492	-13.577164	11.104546	0.555227	local_min
160	5.000000000	-13.509716	13.100450	0.655023	local_min
162	5.000000000	-6.564887	5.630459	0.281523	local_min
163	3.916666746	-6.286113	6.084653	0.304233	local_min
164	4.750000000	-8.946965	8.567022	0.428351	local_min
165	4.500000000	-23.534010	23.307472	1.000000	local_min
167	5.333333492	-16.105415	13.644926	0.682246	local_min
168	5.583333492	-9.087438	6.596145	0.329807	local_min
169	3.916666746	-17.034494	16.626948	0.831347	local_min
170	4.833333492	-7.521008	6.732938	0.336647	local_min
171	5.500000000	-17.004770	15.754799	0.787740	local_min
172	5.750000000	-0.294380	0.002049	0.000102	local_min
174	5.750000000	-0.267594	0.031596	0.001580	local_min
175	5.166666508	-15.704602	14.882011	0.744101	local_min
176	5.750000000	-17.180275	16.381274	0.819064	local_min
177	4.666666508	-11.868983	11.543331	0.577167	local_min
178	4.000000000	-11.143513	10.873359	0.543668	local_min
179	3.166666746	-14.685726	14.173249	0.708662	local_min
180	3.666666746	-16.481789	16.350519	0.817526	local_min
182	4.916666508	-7.648410	7.025333	0.351267	local_min
183	5.250000000	-0.210892	0.062228	0.003111	local_min
184	2.833333254	-13.933263	13.818035	0.690902	local_min
186	4.666666508	-10.821402	10.014071	0.500704	local_min
187	5.833333492	-0.348949	0.022318	0.001116	local_min
189	4.750000000	-8.017825	7.361632	0.368082	local_min
192	5.833333492	-0.294258	0.016439	0.000822	local_min
193	3.833333254	-9.014922	8.546402	0.427320	local_min
194	5.416666508	-13.390023	10.309068	0.515453	local_min
195	5.583333492	-10.643185	10.052002	0.502600	local_min
197	5.083333492	-10.985738	10.017774	0.500889	local_min
203	4.666666508	-12.986175	11.901638	0.595082	local_min
204	4.333333492	-14.640412	13.918535	0.695927	local_min
205	5.083333492	-9.884092	8.908745	0.445437	local_min
206	3.333333254	-11.659483	11.552701	0.577635	local_min
208	5.833333492	-8.410246	5.273976	0.263699	local_min
211	3.500000000	-12.254310	11.884222	0.594211	local_min
212	5.750000000	-9.834938	7.332976	0.366649	local_min
213	4.583333492	-7.747437	7.303757	0.365188	local_min
215	4.833333492	-18.975372	18.351475	0.917574	local_min
216	3.416666746	-5.017657	4.823166	0.241158	local_min
217	4.666666508	-21.381308	20.436172	1.000000	local_min
218	3.750000000	-3.603865	3.369595	0.168480	local_min
219	4.083333492	-14.353995	13.884584	0.694229	local_min
221	4.833333492	-24.603571	23.876908	1.000000	local_min
224	5.500000000	-10.262129	9.345142	0.467257	local_min
225	2.916666746	-16.034842	15.667722	0.783386	local_min
226	3.750000000	-4.767402	4.481785	0.224089	local_min
229	4.583333492	-19.725471	18.614512	0.930726	local_min
231	5.500000000	-8.635230	7.671538	0.383577	local_min
233	5.250000000	-0.258707	0.118083	0.005904	local_min
234	5.166666508	-9.873554	8.938947	0.446947	local_min
235	5.250000000	-4.007595	3.399469	0.169973	local_min
236	5.500000000	-0.220785	0.008175	0.000409	local_min
237	3.833333254	-11.213596	10.823413	0.541171	local_min
238	5.250000000	-0.241361	0.070405	0.003520	local_min
239	5.083333492	-19.893904	18.666520	0.933326	local_min
240	4.750000000	-11.230638	10.621154	0.531058	local_min
