antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
30037	3.920000076	-25.396925	16.894260	0.964766	local_min
2292	2.650000095	-25.844402	15.328201	0.954815	local_min
1979	4.929999828	-34.642494	25.068731	0.993177	local_min
2484	4.239999771	-32.487991	23.032394	0.989746	local_min
4559	5.550000191	-26.649031	23.736592	0.986020	local_min
1164	3.109999895	-16.553637	17.693581	0.851547	local_min
1046	4.960000038	-14.911949	13.230915	0.883023	local_min
2639	4.820000172	-22.807802	18.516524	0.968899	local_min
2061	5.170000076	-20.167669	16.972408	0.954526	local_min
4625	3.569999933	-18.026680	15.800026	0.935941	local_min
30031	5.670000076	-24.229769	16.843445	0.962996	local_min
1171	4.250000000	-23.459583	17.430670	0.965075	local_min
5129	4.110000134	-11.922342	11.533910	0.760469	local_min
1098	5.880000114	-20.758095	16.620165	0.953060	local_min
533	1.990000010	-14.559079	11.183294	0.866291	local_min
4086	5.550000191	-38.376034	30.501757	0.997566	local_min
4732	4.909999847	-20.017172	17.695346	0.955618	local_min
30073	4.449999809	-15.661445	16.982472	0.833220	local_min
1053	4.929999828	-15.237591	13.348317	0.864673	local_min
30061	5.840000153	-26.603472	19.347746	0.977220	local_min
4525	5.579999924	-15.676232	12.163774	0.868644	local_min
29975	5.829999924	-21.038380	18.890878	0.921118	local_min
1406	4.110000134	-27.212381	21.355305	0.983715	local_min
1130	5.849999905	-22.711653	14.430240	0.938900	local_min
1343	4.389999866	-18.567787	13.217460	0.918788	local_min
3581	4.340000153	-23.895342	17.416115	0.965681	local_min
30008	5.909999847	-18.832552	11.089433	0.890927	local_min
4935	3.269999981	-19.439671	18.780427	0.935722	local_min
2627	4.469999790	-29.208687	20.397142	0.982422	local_min
954	3.480000019	-12.998541	12.083044	0.842880	local_min
4378	5.150000095	-26.046503	22.433915	0.984785	local_min
2573	5.980000019	-21.490456	1.593578	0.528068	local_min
1643	5.079999924	-32.123013	26.718323	0.994159	local_min
30069	5.949999809	-24.895466	15.209622	0.952837	local_min
2010	5.099999905	-16.688677	14.292038	0.916177	local_min
5706	5.250000000	-23.819485	20.871370	0.977318	local_min
4655	5.619999886	-24.441147	19.082509	0.973766	local_min
1610	4.929999828	-13.464578	12.853067	0.822337	local_min
2424	3.660000086	-1.823099	1.466913	0.148008	local_min
2772	2.690000057	-14.772861	9.056594	0.828983	local_min
3920	4.769999981	-35.575623	24.814174	0.993019	local_min
1268	5.039999962	-21.905384	18.426534	0.963353	local_min
5665	3.730000019	-23.047081	19.793288	0.973396	local_min
2503	4.489999771	-16.659527	15.663690	0.900831	local_min
1581	4.179999828	-11.263222	11.001176	0.742707	local_min
1765	4.869999886	-30.655809	21.881255	0.986873	local_min
3855	4.250000000	-14.785417	11.045577	0.866164	local_min
3275	5.159999847	-22.953604	21.146236	0.961974	local_min
4786	4.880000114	-18.360239	16.861617	0.939892	local_min
4379	4.449999809	-24.277580	17.777064	0.968042	local_min
2276	4.949999809	-11.731891	10.404667	0.751660	local_min
978	4.800000191	-15.939129	14.410084	0.880588	local_min
