Epoch 001 | batch 0010/40032 | loss 1.524220 | data 1.524220 | passive 0.000000 | lr 5.000000e-04
Epoch 001 | batch 0020/40032 | loss 1.356120 | data 1.356120 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0030/40032 | loss 1.220749 | data 1.220749 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0040/40032 | loss 1.145883 | data 1.145883 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0050/40032 | loss 1.089831 | data 1.089830 | passive 0.000003 | lr 5.000000e-04
Epoch 001 | batch 0060/40032 | loss 1.052670 | data 1.052670 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0070/40032 | loss 1.082188 | data 1.082188 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0080/40032 | loss 1.063551 | data 1.063551 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0090/40032 | loss 1.066036 | data 1.066035 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0100/40032 | loss 1.030330 | data 1.030330 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0110/40032 | loss 1.028992 | data 1.028992 | passive 0.000002 | lr 5.000000e-04
Epoch 001 | batch 0120/40032 | loss 1.011461 | data 1.011460 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0130/40032 | loss 1.003778 | data 1.003777 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0140/40032 | loss 0.998135 | data 0.998135 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0150/40032 | loss 0.974876 | data 0.974876 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0160/40032 | loss 1.005979 | data 1.005979 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0170/40032 | loss 1.003619 | data 1.003618 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0180/40032 | loss 1.004388 | data 1.004388 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0190/40032 | loss 1.016303 | data 1.016303 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0200/40032 | loss 1.011616 | data 1.011615 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0210/40032 | loss 1.003034 | data 1.003033 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0220/40032 | loss 0.995714 | data 0.995714 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0230/40032 | loss 0.995964 | data 0.995964 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0240/40032 | loss 0.988981 | data 0.988981 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0250/40032 | loss 0.978637 | data 0.978637 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0260/40032 | loss 0.996976 | data 0.996976 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0270/40032 | loss 0.994107 | data 0.994107 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0280/40032 | loss 1.010646 | data 1.010646 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0290/40032 | loss 1.015562 | data 1.015562 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0300/40032 | loss 1.013714 | data 1.013714 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0310/40032 | loss 1.012473 | data 1.012473 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0320/40032 | loss 1.011968 | data 1.011968 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0330/40032 | loss 1.005689 | data 1.005688 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0340/40032 | loss 1.008429 | data 1.008429 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0350/40032 | loss 1.001941 | data 1.001941 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0360/40032 | loss 1.003828 | data 1.003828 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0370/40032 | loss 1.003304 | data 1.003304 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0380/40032 | loss 1.000724 | data 1.000724 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0390/40032 | loss 1.001577 | data 1.001577 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0400/40032 | loss 1.009325 | data 1.009325 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0410/40032 | loss 1.007934 | data 1.007934 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0420/40032 | loss 1.012455 | data 1.012455 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0430/40032 | loss 1.013035 | data 1.013035 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0440/40032 | loss 1.003141 | data 1.003141 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0450/40032 | loss 1.000428 | data 1.000428 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0460/40032 | loss 1.010444 | data 1.010444 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0470/40032 | loss 1.017241 | data 1.017241 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0480/40032 | loss 1.022271 | data 1.022271 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0490/40032 | loss 1.015823 | data 1.015823 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0500/40032 | loss 1.011476 | data 1.011476 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0510/40032 | loss 1.008036 | data 1.008036 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0520/40032 | loss 1.007783 | data 1.007783 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0530/40032 | loss 1.007664 | data 1.007664 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0540/40032 | loss 1.009034 | data 1.009034 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0550/40032 | loss 1.009879 | data 1.009879 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0560/40032 | loss 1.011788 | data 1.011788 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0570/40032 | loss 1.017519 | data 1.017519 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0580/40032 | loss 1.016007 | data 1.016007 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0590/40032 | loss 1.013231 | data 1.013231 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0600/40032 | loss 1.007160 | data 1.007160 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0610/40032 | loss 1.001381 | data 1.001381 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0620/40032 | loss 1.000578 | data 1.000578 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0630/40032 | loss 1.003710 | data 1.003710 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0640/40032 | loss 1.002914 | data 1.002914 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0650/40032 | loss 1.003608 | data 1.003608 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0660/40032 | loss 1.005736 | data 1.005736 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0670/40032 | loss 1.008449 | data 1.008449 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0680/40032 | loss 1.007440 | data 1.007440 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0690/40032 | loss 1.009602 | data 1.009602 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0700/40032 | loss 1.006209 | data 1.006209 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0710/40032 | loss 1.004061 | data 1.004061 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0720/40032 | loss 1.003426 | data 1.003426 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0730/40032 | loss 1.005177 | data 1.005177 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0740/40032 | loss 1.007099 | data 1.007099 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0750/40032 | loss 1.004151 | data 1.004151 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0760/40032 | loss 1.003794 | data 1.003793 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0770/40032 | loss 1.003583 | data 1.003583 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0780/40032 | loss 0.999734 | data 0.999733 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0790/40032 | loss 1.003498 | data 1.003498 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0800/40032 | loss 1.007035 | data 1.007035 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0810/40032 | loss 1.007490 | data 1.007490 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0820/40032 | loss 1.006192 | data 1.006192 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0830/40032 | loss 1.006357 | data 1.006357 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0840/40032 | loss 1.004041 | data 1.004040 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0850/40032 | loss 1.004422 | data 1.004422 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0860/40032 | loss 1.001842 | data 1.001842 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0870/40032 | loss 1.003067 | data 1.003067 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0880/40032 | loss 1.005213 | data 1.005213 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0890/40032 | loss 1.002800 | data 1.002800 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0900/40032 | loss 0.998650 | data 0.998650 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0910/40032 | loss 0.999645 | data 0.999645 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0920/40032 | loss 0.999766 | data 0.999766 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0930/40032 | loss 1.000643 | data 1.000643 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0940/40032 | loss 1.000517 | data 1.000516 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0950/40032 | loss 0.999757 | data 0.999757 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0960/40032 | loss 0.998585 | data 0.998585 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0970/40032 | loss 0.998909 | data 0.998909 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0980/40032 | loss 0.998332 | data 0.998332 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 0990/40032 | loss 0.995912 | data 0.995912 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1000/40032 | loss 0.995465 | data 0.995465 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1010/40032 | loss 0.995283 | data 0.995283 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1020/40032 | loss 0.996494 | data 0.996494 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1030/40032 | loss 0.998788 | data 0.998788 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1040/40032 | loss 0.999166 | data 0.999166 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1050/40032 | loss 0.997527 | data 0.997527 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1060/40032 | loss 0.997092 | data 0.997092 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1070/40032 | loss 0.999179 | data 0.999179 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1080/40032 | loss 0.998943 | data 0.998943 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1090/40032 | loss 0.997428 | data 0.997428 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1100/40032 | loss 0.995024 | data 0.995024 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1110/40032 | loss 0.993369 | data 0.993369 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1120/40032 | loss 0.992339 | data 0.992339 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1130/40032 | loss 0.993362 | data 0.993362 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1140/40032 | loss 0.994993 | data 0.994993 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1150/40032 | loss 0.996440 | data 0.996440 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1160/40032 | loss 0.996248 | data 0.996248 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1170/40032 | loss 0.997565 | data 0.997565 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1180/40032 | loss 0.994680 | data 0.994680 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1190/40032 | loss 0.995497 | data 0.995497 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1200/40032 | loss 0.996254 | data 0.996254 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1210/40032 | loss 0.996569 | data 0.996569 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1220/40032 | loss 0.993786 | data 0.993786 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1230/40032 | loss 0.991966 | data 0.991966 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1240/40032 | loss 0.991027 | data 0.991026 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1250/40032 | loss 0.991110 | data 0.991110 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1260/40032 | loss 0.993239 | data 0.993239 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1270/40032 | loss 0.994060 | data 0.994060 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1280/40032 | loss 0.996031 | data 0.996031 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1290/40032 | loss 0.997451 | data 0.997451 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1300/40032 | loss 0.998185 | data 0.998185 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1310/40032 | loss 0.998979 | data 0.998979 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1320/40032 | loss 0.998043 | data 0.998043 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1330/40032 | loss 0.997905 | data 0.997905 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1340/40032 | loss 0.996343 | data 0.996343 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1350/40032 | loss 0.993699 | data 0.993699 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1360/40032 | loss 0.994512 | data 0.994512 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1370/40032 | loss 0.993561 | data 0.993561 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1380/40032 | loss 0.995342 | data 0.995342 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1390/40032 | loss 0.995754 | data 0.995754 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1400/40032 | loss 0.995288 | data 0.995288 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1410/40032 | loss 0.997034 | data 0.997034 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1420/40032 | loss 0.994918 | data 0.994918 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1430/40032 | loss 0.997642 | data 0.997642 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1440/40032 | loss 0.996939 | data 0.996939 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1450/40032 | loss 0.999773 | data 0.999773 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1460/40032 | loss 1.000339 | data 1.000339 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1470/40032 | loss 0.999609 | data 0.999609 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1480/40032 | loss 0.997975 | data 0.997975 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1490/40032 | loss 0.998707 | data 0.998707 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1500/40032 | loss 0.998031 | data 0.998031 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1510/40032 | loss 0.998989 | data 0.998989 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1520/40032 | loss 0.999192 | data 0.999192 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1530/40032 | loss 0.998052 | data 0.998052 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1540/40032 | loss 0.999279 | data 0.999279 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1550/40032 | loss 0.998830 | data 0.998830 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1560/40032 | loss 0.997300 | data 0.997300 | passive 0.000001 | lr 5.000000e-04
